borehole,id,CALI,DEPTH,DTCO,DTSM,RHOB,SGR,VOL_ILLITE
F102,3946,8.5346,11155.0,74.9714,141.6,2.3588,35.5574,0.044299
F102,3947,8.5124,11155.5,73.9429,141.6,2.3661,35.8836,0.033788
F102,3948,8.4901,11156.0,72.9143,141.6,2.3734,36.2098,0.023612
F102,3949,8.4679,11156.5,71.8857,141.6,2.3734,36.0141,0.023535
F102,3950,8.5124,11157.0,70.8571,141.6,2.3734,35.8183,0.02327
F102,3951,8.5568,11157.5,69.8286,141.6,2.3659,35.6226,0.019402000000000003
F102,3952,8.6013,11158.0,68.8,141.6,2.3584,35.4269,0.015522
F102,3953,8.6235,11158.5,68.8,141.6,2.3509,35.2312,0.024892
F102,3954,8.6458,11159.0,68.8,141.6,2.3434,36.2098,0.039963
F102,3955,8.668,11159.5,68.8,141.6,2.3434,37.1884,0.041672
F102,3956,8.6235,11160.0,68.8,141.6,2.3409,38.1671,0.042116
F102,3957,8.5791,11160.5,68.8,141.6,2.3384,39.1457,0.042561
F102,3958,8.5346,11161.0,72.8,132.0,2.3359,38.8661,0.040064
F102,3959,8.5346,11161.5,72.8,132.0,2.3334,38.5865,0.037567
F102,3960,8.5346,11162.0,72.8,132.0,2.3368,38.3069,0.024191
F102,3961,8.5346,11162.5,72.8,132.0,2.3401,38.0273,0.010892
F102,3962,8.5124,11163.0,72.8,132.0,2.3484,37.7477,8.6e-05
F102,3963,8.4901,11163.5,72.8,132.0,2.3568,37.4681,5e-06
F102,3964,8.4679,11164.0,68.0,137.6,2.3651,37.1884,5e-06
F102,3965,8.4901,11164.5,68.0,137.6,2.3734,36.8622,5e-06
F102,3966,8.5124,11165.0,68.0,137.6,2.3734,36.536,5e-06
F102,3967,8.5346,11165.5,68.0,137.6,2.3734,36.2098,5e-06
F102,3968,8.5346,11166.0,68.0,137.6,2.3901,35.8836,0.004316
F102,3969,8.5346,11166.5,68.0,137.6,2.4068,35.5574,0.022423
F102,3970,8.5346,11167.0,69.6,135.2,2.4234,35.2312,0.040542
F102,3971,8.6013,11167.5,69.6,135.2,2.4401,34.9049,0.058748
F102,3972,8.668,11168.0,69.6,135.2,2.4668,34.5787,0.057727
F102,3973,8.7347,11168.5,69.6,135.2,2.4934,34.2525,0.056724
F102,3974,8.718,11169.0,69.6,135.2,2.4974,34.1127,0.045307
F102,3975,8.7014,11169.5,69.6,135.2,2.5014,33.9729,0.045192
